epoch 141: steps 338, actor loss -0.749287, critic loss 0.335035
epoch 142: steps 287, actor loss -0.730787, critic loss 0.332503
epoch 143: steps 272, actor loss -0.730551, critic loss 0.337215
epoch 144: steps 323, actor loss -0.741758, critic loss 0.320983
epoch 145: steps 343, actor loss -0.744881, critic loss 0.324885
epoch 146: steps 317, actor loss -0.739041, critic loss 0.33579
epoch 147: steps 273, actor loss -0.723583, critic loss 0.313583
epoch 148: steps 297, actor loss -0.724793, critic loss 0.311834
epoch 149: steps 323, actor loss -0.732843, critic loss 0.316281
epoch 150: steps 235, actor loss -0.706365, critic loss 0.286729
epoch 151: steps 309, actor loss -0.721293, critic loss 0.324687
epoch 152: steps 290, actor loss -0.714027, critic loss 0.345355
epoch 153: steps 258, actor loss -0.703714, critic loss 0.30668
epoch 154: steps 391, actor loss -0.747041, critic loss 0.320393
epoch 155: steps 394, actor loss -0.742042, critic loss 0.312591
epoch 156: steps 355, actor loss -0.718288, critic loss 0.315508
epoch 157: steps 327, actor loss -0.709275, critic loss 0.313953
epoch 158: steps 334, actor loss -0.718243, critic loss 0.31508
epoch 159: steps 384, actor loss -0.73897, critic loss 0.311732
epoch 160: steps 393, actor loss -0.727067, critic loss 0.30219
epoch 161: steps 332, actor loss -0.705242, critic loss 0.294708
epoch 162: steps 423, actor loss -0.730369, critic loss 0.297064
epoch 163: steps 306, actor loss -0.705262, critic loss 0.288467
epoch 164: steps 322, actor loss -0.694855, critic loss 0.287601
epoch 165: steps 476, actor loss -0.726129, critic loss 0.314019
epoch 166: steps 280, actor loss -0.685385, critic loss 0.276474
epoch 167: steps 462, actor loss -0.712782, critic loss 0.298714
epoch 168: steps 328, actor loss -0.712553, critic loss 0.291698
epoch 169: steps 283, actor loss -0.666469, critic loss 0.256905
epoch 170: steps 418, actor loss -0.697742, critic loss 0.309279
epoch 171: steps 425, actor loss -0.699646, critic loss 0.280715
epoch 172: steps 306, actor loss -0.669525, critic loss 0.290259
epoch 173: steps 435, actor loss -0.69529, critic loss 0.307799
epoch 174: steps 381, actor loss -0.68584, critic loss 0.268484
epoch 175: steps 460, actor loss -0.695588, critic loss 0.285352
epoch 176: steps 303, actor loss -0.653562, critic loss 0.268841
epoch 177: steps 391, actor loss -0.669286, critic loss 0.285683
epoch 178: steps 362, actor loss -0.677588, critic loss 0.27034
epoch 179: steps 452, actor loss -0.698344, critic loss 0.277032
epoch 180: steps 462, actor loss -0.675234, critic loss 0.271798
epoch 181: steps 560, actor loss -0.701668, critic loss 0.264189
epoch 182: steps 402, actor loss -0.678362, critic loss 0.269914
