epoch 159: steps 316, actor loss 0.444802, critic loss 0.338871
epoch 160: steps 307, actor loss 0.438844, critic loss 0.323933
epoch 161: steps 465, actor loss 0.4536, critic loss 0.3185
epoch 162: steps 321, actor loss 0.429459, critic loss 0.338025
epoch 163: steps 386, actor loss 0.424832, critic loss 0.351616
epoch 164: steps 371, actor loss 0.42881, critic loss 0.317657
epoch 165: steps 383, actor loss 0.429425, critic loss 0.331981
epoch 166: steps 315, actor loss 0.412733, critic loss 0.357698
epoch 167: steps 348, actor loss 0.419124, critic loss 0.327668
epoch 168: steps 409, actor loss 0.421586, critic loss 0.317692
epoch 169: steps 444, actor loss 0.455235, critic loss 0.346414
epoch 170: steps 301, actor loss 0.425292, critic loss 0.306338
epoch 171: steps 387, actor loss 0.41901, critic loss 0.318177
epoch 172: steps 405, actor loss 0.439576, critic loss 0.282853
epoch 173: steps 430, actor loss 0.430269, critic loss 0.306702
epoch 174: steps 433, actor loss 0.420559, critic loss 0.323869
epoch 175: steps 364, actor loss 0.42361, critic loss 0.30853
epoch 176: steps 428, actor loss 0.427067, critic loss 0.308907
epoch 177: steps 364, actor loss 0.404255, critic loss 0.323814
epoch 178: steps 447, actor loss 0.411587, critic loss 0.332524
epoch 179: steps 301, actor loss 0.413173, critic loss 0.330136
epoch 180: steps 438, actor loss 0.40813, critic loss 0.324915
epoch 181: steps 588, actor loss 0.406263, critic loss 0.286772
epoch 182: steps 431, actor loss 0.405613, critic loss 0.298763
epoch 183: steps 516, actor loss 0.416391, critic loss 0.327091
epoch 184: steps 627, actor loss 0.422429, critic loss 0.292983
epoch 185: steps 570, actor loss 0.409748, critic loss 0.307327
epoch 186: steps 338, actor loss 0.38475, critic loss 0.360995
epoch 187: steps 533, actor loss 0.397274, critic loss 0.321661
epoch 188: steps 583, actor loss 0.397704, critic loss 0.315541
epoch 189: steps 472, actor loss 0.399842, critic loss 0.322778
epoch 190: steps 483, actor loss 0.392419, critic loss 0.333761
epoch 191: steps 681, actor loss 0.426432, critic loss 0.315343
epoch 192: steps 606, actor loss 0.406068, critic loss 0.301447
epoch 193: steps 473, actor loss 0.381609, critic loss 0.337342
epoch 194: steps 680, actor loss 0.408712, critic loss 0.308883
epoch 195: steps 597, actor loss 0.385694, critic loss 0.308311
epoch 196: steps 602, actor loss 0.391098, critic loss 0.335767
epoch 197: steps 392, actor loss 0.389282, critic loss 0.30665
epoch 198: steps 513, actor loss 0.389268, critic loss 0.312998
epoch 199: steps 697, actor loss 0.394886, critic loss 0.298454
epoch 200: steps 776, actor loss 0.385912, critic loss 0.283584
epoch 201: steps 498, actor loss 0.396927, critic loss 0.264963
epoch 202: steps 645, actor loss 0.381881, critic loss 0.305638
epoch 203: steps 496, actor loss 0.385787, critic loss 0.309813
epoch 204: steps 1197, actor loss 0.401906, critic loss 0.286099
epoch 205: steps 639, actor loss 0.370593, critic loss 0.294585
epoch 206: steps 532, actor loss 0.349131, critic loss 0.328785
epoch 207: steps 715, actor loss 0.382332, critic loss 0.272574
epoch 208: steps 622, actor loss 0.373011, critic loss 0.299982
epoch 209: steps 629, actor loss 0.36, critic loss 0.266838
epoch 210: steps 596, actor loss 0.35902, critic loss 0.299681
epoch 211: steps 603, actor loss 0.38133, critic loss 0.276687
epoch 212: steps 805, actor loss 0.376229, critic loss 0.268923
epoch 213: steps 605, actor loss 0.364168, critic loss 0.277525
epoch 214: steps 573, actor loss 0.386631, critic loss 0.258391
epoch 215: steps 512, actor loss 0.353552, critic loss 0.277921
epoch 216: steps 786, actor loss 0.35211, critic loss 0.254611
epoch 217: steps 579, actor loss 0.37176, critic loss 0.275281
